,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
53,15 - 39,Rarely,Nigerian police,,Rarely,Nigerian police,They arrested my dad for fake money ,No,,,,,Yes,2021,,Wednesday,Lagos,3,,
54,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,Yes,,2021,Friday,Lagos,Yes,2021,,Wednesday,Lagos,4,Hungry,
55,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,4,,"1) create state policing such that every state controls its police and leave the NIA and others at the federal.
2)Increase the strength of the police by employing more and paying them well
3) introduce tech to aid police investigation also all police should have body camera"
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2021,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Friday,Oyo,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2018,,Friday,Oyo,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2017,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2016,,Friday,Oyo,1, terrible,Reform them all
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2021,Wednesday,Lagos,Yes,2021,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2020,Wednesday,Lagos,Yes,2020,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2019,Wednesday,Lagos,Yes,2019,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2017,Wednesday,Lagos,Yes,2019,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
58,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Monday,Lagos,2,,
58,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Monday,Ogun,2,,
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2021,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2018,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
60,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,,2018,Friday,Lagos,Yes,2021,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
60,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,,2018,Friday,Lagos,Yes,2020,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
60,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,,2018,Friday,Lagos,Yes,2019,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
60,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,,2018,Friday,Lagos,Yes,2018,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
60,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I got picked up on my way from work. I wanted to visit my parents just before my NYSC camp. I was told to enter their bus despite telling them i was a journalist. I got held for hours before getting bail.,Yes,,2018,Friday,Lagos,Yes,2017,,Thursday,Lagos,1,Traumatic,"A total overhaul of the system. Better pay, qualified personnel and better administration"
61,15 - 39,Rarely,,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2017,,,,1,,
61,15 - 39,Rarely,,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2016,,,,1,,
62,15 - 39,Rarely,,,Rarely,,,No,,,,,No,,,,,3,Bad,
63,15 - 39,Rarely,,,Rarely,,,No,,,,,Yes,2020,,,Lagos,1,Unpleasant ,Education and reorientation 
64,15 - 39,Rarely,,,Often,The Nigerian Police,Extortion,Yes,,2019,Wednesday,Lagos,Yes,2021,,Monday,Lagos,1,Terrible,A completely new Police system
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2019,Saturday,Rivers,Yes,2021,,Saturday,Abia,3,Unfair,Constant training
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2018,Saturday,Rivers,Yes,2020,,Saturday,Akwa Ibom,3,Unfair,awareness campaigns & lectures
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2017,Saturday,Rivers,Yes,2019,,Saturday,Bayelsa,3,Unfair,Labour benefits outside salaries (an hungry man is an angry man)
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2018,Saturday,Rivers,Yes,2018,,Saturday,Cross River,3,Unfair,Constant training
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2017,Saturday,Rivers,Yes,2017,,Saturday,Imo,3,Unfair,awareness campaigns & lectures
65,15 - 39,Rarely,Nigerian Mobile Police,I extend pleasantries to them and I got a positive response.,Often,Nigerian Mobile Police,"I was wrongly arrested and harassed.
And even after the error was rectified, no apologies or what so ever…

Other verbal harassment cases.",Yes,,2019,Saturday,Rivers,Yes,2016,,Saturday,Lagos,3,Unfair,Labour benefits outside salaries (an hungry man is an angry man)
66,15 - 39,Rarely,,,Rarely,,,No,,,,,No,,,,,3,Unimpressive,
67,15 - 39,Rarely,,,Often,State Security Service,,Yes,,2020,Friday,Anambra,Yes,2020,,Friday,Anambra,2,Poor ,They should be more sympathetic and should not be susceptible to taking bribe
67,15 - 39,Rarely,,,Often,State Security Service,,Yes,,2018,Friday,Lagos,Yes,2018,,Friday,Lagos,2,Poor ,They should be more sympathetic and should not be susceptible to taking bribe
67,15 - 39,Rarely,,,Often,State Security Service,,Yes,,2018,Friday,Ondo,Yes,2018,,Friday,Lagos,2,Poor ,They should be more sympathetic and should not be susceptible to taking bribe
68,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Extortion,No,,,,,Yes,2019,,Saturday,Kwara,1,unsafe,Better training
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2021,,Thursday,Lagos,4,,
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,4,,
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2019,,Thursday,Lagos,4,,
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2018,,Thursday,Lagos,4,,
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2018,,Thursday,Lagos,4,,
69,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2017,,Thursday,Lagos,4,,
70,40 - 69,Rarely,National Security Organization,They just check my papers and allow me to go,Often,Nigerian Mobile Police,They try to extort money through false pretence,Yes,,2019,Tuesday,Delta,Yes,2016,,Wednesday,Delta,2, harass ,The mobile policemen should be closely monitored and censored when they misbehave
70,40 - 69,Rarely,National Security Organization,They just check my papers and allow me to go,Often,Nigerian Mobile Police,They try to extort money through false pretence,Yes,,2018,Tuesday,Delta,Yes,2016,,Wednesday,Delta,2, harass ,The mobile policemen should be closely monitored and censored when they misbehave
70,40 - 69,Rarely,National Security Organization,They just check my papers and allow me to go,Often,Nigerian Mobile Police,They try to extort money through false pretence,Yes,,2017,Tuesday,Delta,Yes,2016,,Wednesday,Delta,2, harass ,The mobile policemen should be closely monitored and censored when they misbehave
71,15 - 39,Rarely,,,Often,Nigerian Mobile Police,I was put behind bars for some hours when I was 13 because our landlord didn't pay refuse disposal fees,Yes,,,Monday,Abia,No,,,,Lagos,4,Bad, for now
72,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,Yes,,2018,,,No,,,,,2,,
73,15 - 39,Often,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Tuesday,Rivers,Yes,2021,,Tuesday,Rivers,4,Not Fair,
73,15 - 39,Often,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Tuesday,Rivers,Yes,2020,,Tuesday,Rivers,4,Not Fair,
73,15 - 39,Often,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Tuesday,Rivers,Yes,2019,,Tuesday,Rivers,4,Not Fair,
73,15 - 39,Often,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Tuesday,Rivers,Yes,2018,,Tuesday,Rivers,4,Not Fair,
74,15 - 39,Rarely,,,Rarely,,,No,,,,,No,,,,,5,,
75,15 - 39,Rarely,,,Often,Nigerian Mobile Police,"Extortion, not heeding calls for help, rudeness because they have guns",No,,,,,Yes,2021,,Wednesday,Lagos,1,Dissatisfaction ,They should treat citizens as they would treat their families 
75,15 - 39,Rarely,,,Often,State Security Service,"Extortion, not heeding calls for help, rudeness because they have guns",No,,,,,Yes,2020,,Wednesday,Lagos,1,Dissatisfaction ,They should treat citizens as they would treat their families 
75,15 - 39,Rarely,,,Often,Nigerian Mobile Police,"Extortion, not heeding calls for help, rudeness because they have guns",No,,,,,Yes,2021,,Wednesday,Lagos,1,Dissatisfaction ,They should treat citizens as they would treat their families 
76,15 - 39,Rarely,Nigerian Mobile Police,"A policeman gave my brother and I money to fix our flat tire at Nicon junction, Abuja. I have been trying to find him but he is no longer there. It was before the covid19 2020",Often,Nigerian Mobile Police,"During the lockdown, they arrested me near Total gas station in kubwa by 7pm when curfew is by 10pm...took me to the station, collected 5 thousand naira from me with lots of other people without telling me what I did wrong.",Yes,,2020,Sunday,Federal Capital Territory (FCT),Yes,2020,,,Federal Capital Territory (FCT),3,Some of them knows their work while most of them are wicked,They should increase their welfare and salary 
81,15 - 39,Rarely,Nigerian Mobile Police,They help me when a guy was trying to harass me,Rarely,Nigerian Mobile Police,Asking me to give them something,Yes,,2020,Saturday,Lagos,Yes,2021,,Tuesday,Lagos,6,Stucked,Firstly they should stop harassing the youth. It's not a crime to have iPhone or to be rich at young age. They should focus on the main reason that is protecting we the citizens.
82,15 - 39,Always,Nigerian Mobile Police,Unapologetic and very poor,Always,Nigerian Mobile Police,Very rude and unprofessional ,Yes,,2019,Friday,Anambra,Yes,2019,,Friday,Anambra,1,Untrustworthy,There should a psychologist put in check for these people to checkmate them. 
82,15 - 39,Always,Nigerian Mobile Police,Unapologetic and very poor,Always,Nigerian Mobile Police,Very rude and unprofessional ,Yes,,2020,Friday,Anambra,Yes,2020,,Friday,Anambra,1,Untrustworthy,There should a psychologist put in check for these people to checkmate them. 
82,15 - 39,Always,Nigerian Mobile Police,Unapologetic and very poor,Always,Nigerian Mobile Police,Very rude and unprofessional ,Yes,,2021,Friday,Anambra,Yes,2021,,Friday,Anambra,1,Untrustworthy,There should a psychologist put in check for these people to checkmate them. 
83,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2021,Saturday,Lagos,Yes,2021,,Saturday,Lagos,2,,
83,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2020,Saturday,Lagos,Yes,2020,,Saturday,Lagos,2,,
83,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,Yes,,2019,Saturday,Lagos,Yes,2019,,Saturday,Lagos,2,,
84,15 - 39,Rarely,State Security Service,They directed me,Always,State Security Service,Requesting for bribe,No,,,,,Yes,2019,,Tuesday,Lagos,4,Difficult,They should be well paid and trained
85,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,,,No,,,,,No,,,,,4,Good,
86,15 - 39,Rarely,National Drug Law Enforcement Agency,On fake goods,Often,State Security Service,Violent,No,,,,,Yes,2016,,Thursday,Rivers,3,Corrupt,Self content and control
87,15 - 39,Rarely,,,Often,Nigerian Mobile Police,"Undue extortion for the crime of having a laptop in my bag, held at gunpoint for standing with a friend tasked with keeping our organization's technical equipment.",Yes,,2018,,Rivers,Yes,2019,,,Rivers,2,Terrible,
87,15 - 39,Rarely,,,Often,Nigerian Mobile Police,"Undue extortion for the crime of having a laptop in my bag, held at gunpoint for standing with a friend tasked with keeping our organization's technical equipment.",Yes,,2018,,Rivers,Yes,2019,,,Federal Capital Territory (FCT),2,Terrible,
88,15 - 39,Rarely,,,Rarely,,,No,,,,Anambra,Yes,2019,,Thursday,Anambra,5,Terrible,
89,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Harassment,Yes,,2020,,Anambra,Yes,2020,,,Benue,3,Disappointing,State policing 
89,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Harassment,Yes,,2020,,Enugu,Yes,2020,,,Enugu,3,Disappointing,State policing 
90,15 - 39,Rarely,,,Always,Nigerian Mobile Police,,No,,,,,Yes,2021,,Friday,Adamawa,1,,
90,15 - 39,Rarely,,,Always,Nigerian Mobile Police,,No,,,,,Yes,2020,,Friday,Adamawa,1,,
90,15 - 39,Rarely,,,Always,Nigerian Mobile Police,,No,,,,,Yes,2019,,Friday,Adamawa,1,,
91,15 - 39,Rarely,,,Rarely,,,No,,,,,Yes,2021,,Thursday,Osun,4,,
92,15 - 39,Often,Nigerian Mobile Police,It was fascinating,Often,Nigerian Mobile Police,It was hectic,Yes,,2010,Saturday,Ondo,Yes,2020,,Monday,Lagos,5,Incompetent,Sanction of offending officers 
93,15 - 39,Rarely,,,Rarely,Nigerian Mobile Police,,No,,2018,Saturday,Rivers,Yes,2018,,Saturday,Rivers,5,,
94,15 - 39,Rarely,National Drug Law Enforcement Agency,,Often,Nigerian Mobile Police,,No,,,,,No,,,,,3,Corrupt,
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2021,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2020,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2019,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2018,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2017,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
95,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Arresting me wrongly and making me pay for what I didn't do,Yes,,2017,Friday,Rivers,Yes,2016,,Monday,Lagos,1,Dehumanizing,Implementation of the right laws and punishments
96,40 - 69,Rarely,Nigerian Mobile Police,Stopping and searching that I boarded,Rarely,Nigerian Mobile Police,Stopping and searching that I boarded,Yes,,,Wednesday,Lagos,Yes,2010,,Thursday,Lagos,3,Unreliable,Periodic traning and monitoring
97,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Bribery,No,,,,,Yes,2020,,Thursday,Ondo,3,,They should improve their attitude and relationship to citizens and other communities as we;;
98,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Bullying,Yes,,2020,Saturday,Rivers,Yes,2021,,Saturday,Rivers,1,Unchecked,Constitutional amendment
98,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Bullying,Yes,,2020,Saturday,Rivers,Yes,2020,,Saturday,Rivers,1,Unchecked,Constitutional amendment
98,15 - 39,Rarely,,,Often,Nigerian Mobile Police,Bullying,Yes,,2020,Saturday,Rivers,Yes,2019,,Saturday,Rivers,1,Unchecked,Constitutional amendment
99,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,"first was at a game centre, we were released after a bribe was paid. Another was at a traffic light, I was accused of jumping the red light but I was sure I never did",Yes,,2021,Sunday,Lagos,Yes,2021,,Wednesday,Lagos,1,Useless,"it should be scrapped and a new persons that never interacted with the scrapped one be introduced. state policing: police should live in the community they serve, and not the police barracks"
99,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,"first was at a game centre, we were released after a bribe was paid. Another was at a traffic light, I was accused of jumping the red light but I was sure I never did",Yes,,2004,Sunday,Lagos,Yes,2021,,Wednesday,Lagos,1,Useless,"it should be scrapped and a new persons that never interacted with the scrapped one be introduced. state policing: police should live in the community they serve, and not the police barracks"
100,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,Yes,,2020,,Lagos,Yes,2020,,,Lagos,6,Abysmal,
100,15 - 39,Rarely,,,Often,State Security Service,,Yes,,2019,,Lagos,Yes,2020,,,Lagos,6,Abysmal,
101,15 - 39,Rarely,,,Rarely,,,Yes,,2021,Saturday,Delta,Yes,2021,,,Delta,4,Distasteful,
101,15 - 39,Rarely,,,Rarely,,,Yes,,2020,Saturday,Delta,Yes,2020,,,Delta,4,Distasteful,
101,15 - 39,Rarely,,,Rarely,,,Yes,,2019,Saturday,Rivers,Yes,2019,,,Rivers,4,Distasteful,
102,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,2021,Wednesday,Abia,Yes,2017,,Thursday,Rivers,1,,
103,15 - 39,Rarely,,,Often,Nigerian Mobile Police,They asked our driver to give them money before they would let us pass,Yes,,2021,Tuesday,Enugu,Yes,2021,,Thursday,Rivers,2,Hooligans,Total reformation is needed urgently.
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2021,,Friday,Oyo,5,,
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Friday,Oyo,5,,
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Friday,Oyo,5,,
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2018,,Friday,Oyo,5,,
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2017,,Friday,Oyo,5,,
104,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2016,,Friday,Oyo,5,,
105,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,,No,,,,Lagos,Yes,2020,,,Lagos,4,,
106,15 - 39,Rarely,Nigerian Mobile Police,I asked them to help me cross,Often,Nigerian Mobile Police,"They barged into my room, harassing me",Yes,,2021,Thursday,Kwara,Yes,2021,,Tuesday,Lagos,3,Disappointing,They should improve in everything. I think they need better management
106,15 - 39,Rarely,Nigerian Mobile Police,I asked them to help me cross,Often,Nigerian Mobile Police,"They barged into my room, harassing me",Yes,,2020,Thursday,Lagos,Yes,2020,,Tuesday,Lagos,3,Disappointing,They should improve in everything. I think they need better management
107,15 - 39,Rarely,Nigerian Mobile Police,Conflict Resolution,Rarely,Nigerian Mobile Police,Oppression,No,,,,,Yes,2021,,Friday,Kwara,3,Absymal,They should develop a human conscience and feeling
107,15 - 39,Rarely,Nigerian Mobile Police,Conflict Resolution,Rarely,Nigerian Mobile Police,Oppression,No,,,,,Yes,2020,,Friday,Kwara,3,Absymal,They should develop a human conscience and feeling
108,15 - 39,Rarely,,I will when I have one.,Always,Nigerian Mobile Police,They are basically bullies with badges. Legal criminals.,Yes,,2021,,Rivers,Yes,2021,,,Rivers,1,Oppression,People should stop joining the police and just look for any other job in Nigeria. They should join because they want to serve and protect the people not just to be wealthy. The police commit more crime these days than actual criminals in Nigeria and it's horrible.
108,15 - 39,Rarely,,I will when I have one.,Always,Special Anti Robery Squad,They are basically bullies with badges. Legal criminals.,Yes,,2020,,Rivers,Yes,2019,,,Federal Capital Territory (FCT),1,Oppression,People should stop joining the police and just look for any other job in Nigeria. They should join because they want to serve and protect the people not just to be wealthy. The police commit more crime these days than actual criminals in Nigeria and it's horrible.
108,15 - 39,Rarely,,I will when I have one.,Always,Nigerian Mobile Police,They are basically bullies with badges. Legal criminals.,Yes,,2019,,Rivers,Yes,2018,,,Rivers,1,Oppression,People should stop joining the police and just look for any other job in Nigeria. They should join because they want to serve and protect the people not just to be wealthy. The police commit more crime these days than actual criminals in Nigeria and it's horrible.
,15-39,Rarely,,I will when I have one.,Always,Special Anti Robery Squad,,,,2018,,,,2017,,,Federal Capital Territory (FCT),,Oppression,People should stop joining the police and just look for any other job in Nigeria. They should join because they want to serve and protect the people not just to be wealthy. The police commit more crime these days than actual criminals in Nigeria and it's horrible.
,,,,,,,,,,,,,,2016,,,Rivers,,Oppression,People should stop joining the police and just look for any other job in Nigeria. They should join because they want to serve and protect the people not just to be wealthy. The police commit more crime these days than actual criminals in Nigeria and it's horrible.
109,15 - 39,Rarely,Nigerian Mobile Police,Extorting cash on the road ,Often,Nigerian Mobile Police,,Yes,,2019,,Akwa Ibom,No,,,,,3,,
109,15 - 39,Rarely,Nigerian Mobile Police,Extorting cash on the road ,Often,Nigerian Mobile Police,,Yes,,2018,,Akwa Ibom,No,,,,,3,,
109,15 - 39,Rarely,Nigerian Mobile Police,Extorting cash on the road ,Often,Nigerian Mobile Police,,Yes,,2017,,Akwa Ibom,No,,,,,3,,
109,15 - 39,Rarely,Nigerian Mobile Police,Extorting cash on the road ,Often,Nigerian Mobile Police,,Yes,,2016,,Akwa Ibom,No,,,,,3,,
110,15 - 39,Often,National Security Organization,,Often,National Security Organization,,Yes,,2021,Monday,Akwa Ibom,Yes,2020,,Wednesday,Akwa Ibom,3,,
111,15 - 39,Rarely,Nigerian Mobile Police,We were packed and they came to find out if there was a problem. ,Rarely,Nigerian Mobile Police,They harrased my friend and I ,Yes,,2021,Tuesday,Federal Capital Territory (FCT),Yes,2020,,Thursday,Federal Capital Territory (FCT),5,Uninspiring,"They should be trained properly, most of them are uneducated. "
112,15 - 39,Rarely,,,Rarely,,,Yes,,2017,Sunday,Lagos,Yes,2019,,Wednesday,Lagos,2,,"They are very not our friend oh, We were driving to church when my brother packed to pump the tyre of the car, then they suddenly appeared with their rickety car and said he was blocking the road. Of course the route was enough for two cars to go side by side. Them the argument began and one them called me ashawo. So I replied in my own words too."
113,15 - 39,Rarely,,,Always,Nigerian Mobile Police,Taking sides and influenced with tips,No,,,,,Yes,2020,,Tuesday,Ogun,3,Discouraging ,"By being just and upright in their dealings, deemphasizing bribes"
